No,Kelas,Kulit Buah,Warna,Ukuran,Bau
1,Aman,Kasar,Coklat,Besar,keras
2,Aman,Kasar,Hijau,Besar,keras
3,Berbahaya,Halus,Merah,Besar,Lunak
4,Aman,Kasar,Hijau,Besar,Lunak
5,Aman,Kasar,Merah,Kecil,keras
6,Aman,Halus,Merah,Kecil,keras
7,Aman,Halus,Coklat,Kecil,keras
8,Berbahaya,Kasar,Hijau,Kecil,lunak
9,Berbahaya,Halus,Hijau,Kecil,keras
10,Aman,Kasar,Merah,Besar,keras
11,Aman,Halus,Coklat,Besar,Lunak
12,Berbahaya,Halus,Hijau,Kecil,keras
13,Aman,Kasar,Merah,Kecil,Lunak
14,Berbahaya,Halus,Merah,Besar,keras
15,Aman,Halus,Merah,Kecil,keras
16,Berbahaya,Kasar,Hijau,Kecil,keras
